Year,Name,Team,Position,Game Date,Home or Away,Opponent,Location,Extra Points Made,Extra Points Attempted,Percentage of Extra Points Made
2016,"Janikowski, Sebastian",OAK,K,09/11,Away,NO,Mercedes-Benz Superdome,1,1,100
2016,"Janikowski, Sebastian",OAK,K,09/18,Home,ATL,Oakland–Alameda County Coliseum,4,4,100
2016,"Janikowski, Sebastian",OAK,K,09/25,Away,TEN,Nissan Stadium,2,2,100
2016,"Janikowski, Sebastian",OAK,K,10/02,Away,BAL,M&T Bank Stadium,4,4,100
2016,"Janikowski, Sebastian",OAK,K,10/09,Home,LAC,Oakland–Alameda County Coliseum,2,2,100
2016,"Janikowski, Sebastian",OAK,K,10/16,Home,KC,Oakland–Alameda County Coliseum,1,1,100
2016,"Janikowski, Sebastian",OAK,K,10/23,Away,JAX,TIAA Bank Field,3,3,100
2016,"Janikowski, Sebastian",OAK,K,10/30,Away,TB,Raymond James Stadium,3,3,100
2016,"Janikowski, Sebastian",OAK,K,11/06,Home,DEN,Oakland–Alameda County Coliseum,3,3,100
2016,"Janikowski, Sebastian",OAK,K,11/21,Home,HOU,Oakland–Alameda County Coliseum,3,3,100
2016,"Janikowski, Sebastian",OAK,K,11/27,Home,CAR,Oakland–Alameda County Coliseum,3,3,100
2016,"Janikowski, Sebastian",OAK,K,12/04,Home,BUF,Oakland–Alameda County Coliseum,3,3,100
2016,"Janikowski, Sebastian",OAK,K,12/08,Away,KC,Arrowhead Stadium,1,1,100
2016,"Janikowski, Sebastian",OAK,K,12/18,Away,LAC,Oakland–Alameda County Coliseum,1,1,100
2016,"Janikowski, Sebastian",OAK,K,12/24,Home,IND,Oakland–Alameda County Coliseum,3,5,60
2016,"Janikowski, Sebastian",OAK,K,01/01,Away,DEN,Broncos Stadium at Mile High,--,--,--
2016,"Myers, Jason",JAX,K,09/11,Home,GB,TIAA Bank Field,2,2,100
2016,"Myers, Jason",JAX,K,09/18,Away,LAC,Oakland–Alameda County Coliseum,2,2,100
2016,"Myers, Jason",JAX,K,09/25,Home,BAL,TIAA Bank Field,2,2,100
2016,"Myers, Jason",JAX,K,10/02,Home,IND,TIAA Bank Field,3,3,100
